,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,name,artists,popularity,explicit,album_type,release_date,artist_genres,dutch,rap,pop,rock,r&b,hip hop,dance
23,0.956,0.417,7,-7.892,0,0.0926,0.572,0.00071,0.0782,0.714,108.015,4,187111,Peru,"['Fireboy DML', 'Ed Sheeran']",77,False,single,2021-12-24,"['pop', 'uk pop']",0,0,1,0,0,0,0
24,0.738,0.549,6,-9.704,1,0.0513,0.638,0.402,0.111,0.475,98.965,4,164848,Emiliana,['CKay'],84,False,single,2021-12-03,['afro r&b'],0,0,0,0,1,0,0
25,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4,153190,Ghost,['Justin Bieber'],92,False,album,2021-03-19,"['canadian pop', 'pop']",0,0,1,0,0,0,0
26,0.677,0.721,10,-5.482,0,0.0446,0.258,1.6e-06,0.153,0.779,150.031,4,134400,Leven,['Maan'],47,False,single,2021-12-02,"['dutch pop', 'dutch rock']",1,0,1,1,0,0,0
27,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4,148197,Where Are You Now,"['Lost Frequencies', 'Calum Scott']",94,False,single,2021-07-30,"['tropical house', 'pop', 'pop dance', 'edm', 'belgian edm', 'neo mellow']",0,0,1,0,0,0,1
28,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,0.905,122.0,4,188918,Sacrifice,['The Weeknd'],93,True,album,2022-01-06,"['canadian pop', 'canadian contemporary r&b', 'pop']",0,0,1,0,1,0,0
29,0.809,0.644,0,-8.753,1,0.0342,0.23,2.54e-06,0.204,0.859,120.01,4,147000,Leuk,"['Antoon', 'Big2']",73,False,single,2020-11-27,"['dutch hip hop', 'dutch pop']",1,0,1,0,0,1,0
30,0.593,0.573,1,-6.925,1,0.259,0.00214,0.0,0.281,0.44,93.384,4,158015,Schaap & Citroen,"['Lil Kleine', 'JoeyAK']",69,True,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
31,0.835,0.612,0,-7.722,1,0.107,0.037,6.53e-06,0.244,0.515,100.023,4,197131,No Cry,"['Lil Kleine', 'Ronnie Flex']",68,True,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
32,0.909,0.569,0,-7.013,0,0.212,0.636,4.55e-05,0.0667,0.922,125.004,4,180480,Hoe Niet?,"['Mensa', 'Saaff']",71,False,single,2021-12-10,"['dutch rap pop', 'dutch hip hop', 'dutch drill']",1,1,1,0,0,1,0
33,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,141806,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",92,True,album,2021-07-23,"['australian hip hop', 'canadian pop', 'pop']",0,0,1,0,0,1,0
34,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,4,163855,Sunshine,['OneRepublic'],84,False,single,2021-11-10,"['pop rock', 'pop', 'piano rock', 'dance pop']",0,0,1,1,0,0,1
35,0.732,0.578,7,-10.588,0,0.32,0.737,1.52e-06,0.329,0.445,70.045,4,195563,Was Er Nooit,['Lijpe'],71,True,single,2022-01-20,['dutch hip hop'],1,0,0,0,0,1,0
36,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,4,216120,We Don't Talk About Bruno,"['Carolina Gaitán - La Gaita', 'Mauro Castillo', 'Adassa', 'Rhenzy Feliz', 'Diane Guerrero', 'Stephanie Beatriz', 'Encanto - Cast']",96,False,album,2021-11-19,"['latin hip hop', 'salsa colombiana', 'reggaeton', 'latin', 'modern salsa']",0,0,0,0,0,1,0
37,0.823,0.493,11,-8.336,0,0.135,0.0703,0.0,0.0883,0.569,127.094,4,199690,Streken Van Een Duivel,"['Bilal Wahib', 'Frenna']",66,False,album,2021-11-25,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
38,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,4,143901,THATS WHAT I WANT,['Lil Nas X'],95,True,album,2021-09-17,"['pop', 'lgbtq+ hip hop']",0,0,1,0,0,1,0
39,0.516,0.593,4,-7.408,0,0.471,0.63,0.0,0.0973,0.3,176.728,4,185722,Monaco,"['Dopebwoy', 'Boef', 'SRNO']",67,False,single,2022-01-28,"['dutch rap pop', 'dutch hip hop']",1,1,1,0,0,1,0
40,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,4,225149,Oh My God,['Adele'],93,False,album,2021-11-19,"['british soul', 'pop soul', 'pop', 'uk pop']",0,0,1,0,0,0,0
41,0.563,0.511,0,-6.415,0,0.122,0.458,0.0,0.108,0.21,113.171,5,206405,In De Nacht,['Yade Lauren'],72,False,single,2021-10-22,"['dutch rap pop', 'dutch pop']",1,1,1,0,0,0,0
42,0.696,0.727,2,-4.516,0,0.166,0.316,0.0,0.252,0.786,120.05,4,173283,Bon Gepakt,"['Donnie', 'Rene Froger']",71,True,single,2021-09-02,"['nederpop', 'dutch hip hop', 'dutch rock', 'dutch pop', 'levenslied']",1,0,1,1,0,1,0
43,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,236907,Overpass Graffiti,['Ed Sheeran'],87,False,album,2021-10-29,"['pop', 'uk pop']",0,0,1,0,0,0,0
44,0.684,0.559,6,-9.072,0,0.255,0.163,0.0,0.149,0.223,96.361,4,142743,Over,"['Lil Kleine', 'Boef']",68,False,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
45,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185,3,193733,GHOST TOWN,['Benson Boone'],86,False,single,2021-10-15,[],0,0,0,0,0,0,0
46,0.727,0.52,1,-9.623,0,0.0562,0.209,5.56e-05,0.218,0.341,127.929,4,170106,Nog Een Dans,['Lil Kleine'],68,True,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
47,0.649,0.407,9,-12.874,0,0.434,0.331,0.0,0.109,0.459,93.906,4,221227,Ibiza Stories,['Lil Kleine'],68,True,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
48,0.699,0.449,10,-7.759,1,0.119,0.595,0.0,0.155,0.543,144.88,4,175995,Vreemde Voor Mij,"['Sigourney K', 'Sevn Alias']",71,False,single,2021-09-30,"['dutch rap pop', 'dutch hip hop', 'dutch pop', 'dutch r&b']",1,1,1,0,1,1,0
49,0.812,0.599,8,-9.73,1,0.305,0.212,4.96e-06,0.121,0.547,94.979,4,113663,Bosmuis,['Lil Kleine'],67,True,album,2022-01-27,"['dutch rap pop', 'dutch hip hop', 'dutch pop']",1,1,1,0,0,1,0
